PB,batch,years,houses_exposed
0,6,2090,
0,6,2091,
0,6,2092,
0,6,2093,
0,6,2094,
0,6,2095,
0,6,2096,
0,6,2097,
0,6,2098,
0,6,2099,
0,6,2100,
0,6,2101,
0,6,2102,
0,6,2103,
0,6,2104,
0,6,2105,
0,6,2106,
0,6,2107,
0,6,2108,
0,6,2109,
0,6,2110,
0,6,2111,
0,6,2112,
0,6,2113,
0,6,2114,
0,6,2115,
0,6,2116,
0,6,2117,
0,6,2118,
0,6,2119,
0,6,2120,
0,6,2121,
0,6,2122,
0,6,2123,
0,6,2124,
0,6,2125,
0,6,2126,
0,6,2127,
0,6,2128,
0,6,2129,
0,6,2130,
0,6,2131,
0,6,2132,
0,6,2133,
0,6,2134,
0,6,2135,
0,6,2136,
0,6,2137,
0,6,2138,
0,6,2139,
0,6,2140,
0,6,2141,
0,6,2142,
0,6,2143,
0,6,2144,
0,6,2145,
0,6,2146,
0,6,2147,
0,6,2148,
0,6,2149,
0,6,2150,
0,6,2151,
0,7,2003,
0,7,2004,
0,7,2005,
0,7,2006,
0,7,2007,
0,7,2008,
0,7,2009,
0,7,2010,4021.0
0,7,2011,3845.0
0,7,2012,7613.0
0,7,2013,14376.0
0,7,2014,2649.0
0,7,2015,9210.0
0,7,2016,2652.0
0,7,2017,2450.0
0,7,2018,13316.0
0,7,2019,9848.0
0,7,2020,4573.0
0,7,2021,28053.0
0,7,2022,4430.0
0,7,2023,6831.0
0,7,2024,3228.0
0,7,2025,7250.0
0,7,2026,7053.0
0,7,2027,6180.0
0,7,2028,11051.0
0,7,2029,1978.0
0,7,2030,10345.0
0,7,2031,18759.0
0,7,2032,10885.0
0,7,2033,4762.0
0,7,2034,13774.0
0,7,2035,3612.0
0,7,2036,642.0
0,7,2037,1513.0
0,7,2038,5162.0
0,7,2039,13738.0
0,7,2040,1820.0
0,7,2041,10707.0
0,7,2042,5841.0
0,7,2043,1883.0
0,7,2044,3750.0
0,7,2045,7688.0
0,7,2046,5712.0
0,7,2047,29371.0
0,7,2048,3300.0
0,7,2049,4671.0
0,7,2050,2429.0
0,7,2051,7582.0
0,7,2052,8759.0
0,7,2053,8314.0
0,7,2054,5918.0
0,7,2055,4303.0
0,7,2056,2265.0
0,7,2057,5261.0
0,7,2058,7816.0
0,7,2059,4607.0
0,7,2060,
0,7,2061,
0,7,2062,
0,7,2063,
0,7,2064,
0,7,2065,
0,7,2066,
0,7,2067,
0,7,2068,
0,7,2069,
0,7,2070,
0,7,2071,
0,7,2072,
0,7,2073,
0,7,2074,
0,7,2075,
0,7,2076,
0,7,2077,
0,7,2078,
0,7,2079,
0,7,2080,
0,7,2081,
0,7,2082,
0,7,2083,
0,7,2084,
0,7,2085,
0,7,2086,
0,7,2087,
0,7,2088,
0,7,2089,
0,7,2090,
0,7,2091,
0,7,2092,
0,7,2093,
0,7,2094,
0,7,2095,
0,7,2096,
0,7,2097,
0,7,2098,
0,7,2099,
0,7,2100,
0,7,2101,
0,7,2102,
0,7,2103,
0,7,2104,
0,7,2105,
0,7,2106,
0,7,2107,
0,7,2108,
0,7,2109,
0,7,2110,
0,7,2111,
0,7,2112,
0,7,2113,
0,7,2114,
0,7,2115,
0,7,2116,
0,7,2117,
0,7,2118,
0,7,2119,
0,7,2120,
0,7,2121,
0,7,2122,
0,7,2123,
0,7,2124,
0,7,2125,
0,7,2126,
0,7,2127,
0,7,2128,
0,7,2129,
0,7,2130,
0,7,2131,
0,7,2132,
0,7,2133,
0,7,2134,
0,7,2135,
0,7,2136,
0,7,2137,
0,7,2138,
0,7,2139,
0,7,2140,
0,7,2141,
0,7,2142,
0,7,2143,
0,7,2144,
0,7,2145,
0,7,2146,
0,7,2147,
0,7,2148,
0,7,2149,
0,7,2150,
0,7,2151,
0,8,2003,
0,8,2004,
0,8,2005,
0,8,2006,
0,8,2007,
0,8,2008,
0,8,2009,
0,8,2010,
0,8,2011,4891.0
0,8,2012,4136.0
0,8,2013,5056.0
0,8,2014,2244.0
0,8,2015,7683.0
0,8,2016,6694.0
0,8,2017,6899.0
0,8,2018,3473.0
0,8,2019,7839.0
0,8,2020,3050.0
0,8,2021,16635.0
0,8,2022,5376.0
0,8,2023,3279.0
0,8,2024,1535.0
0,8,2025,7214.0
0,8,2026,8568.0
0,8,2027,8044.0
0,8,2028,4775.0
0,8,2029,4401.0
0,8,2030,4386.0
0,8,2031,3648.0
0,8,2032,6602.0
0,8,2033,4006.0
0,8,2034,23030.0
0,8,2035,8593.0
0,8,2036,5512.0
0,8,2037,2446.0
0,8,2038,6079.0
0,8,2039,12975.0
0,8,2040,1104.0
0,8,2041,9043.0
0,8,2042,2599.0
0,8,2043,5847.0
0,8,2044,3534.0
0,8,2045,10938.0
0,8,2046,3187.0
0,8,2047,18417.0
0,8,2048,2945.0
0,8,2049,1172.0
0,8,2050,1656.0
0,8,2051,7366.0
0,8,2052,3139.0
0,8,2053,5203.0
0,8,2054,21523.0
0,8,2055,4539.0
0,8,2056,1046.0
0,8,2057,7661.0
0,8,2058,7303.0
0,8,2059,3857.0
0,8,2060,8840.0
0,8,2061,
0,8,2062,
0,8,2063,
0,8,2064,
0,8,2065,
0,8,2066,
0,8,2067,
0,8,2068,
0,8,2069,
0,8,2070,
0,8,2071,
0,8,2072,
0,8,2073,
0,8,2074,
0,8,2075,
0,8,2076,
0,8,2077,
0,8,2078,
0,8,2079,
0,8,2080,
0,8,2081,
0,8,2082,
0,8,2083,
0,8,2084,
0,8,2085,
0,8,2086,
0,8,2087,
0,8,2088,
0,8,2089,
0,8,2090,
0,8,2091,
0,8,2092,
0,8,2093,
0,8,2094,
0,8,2095,
0,8,2096,
0,8,2097,
0,8,2098,
0,8,2099,
0,8,2100,
0,8,2101,
0,8,2102,
0,8,2103,
0,8,2104,
0,8,2105,
0,8,2106,
0,8,2107,
0,8,2108,
0,8,2109,
0,8,2110,
0,8,2111,
0,8,2112,
0,8,2113,
0,8,2114,
0,8,2115,
0,8,2116,
0,8,2117,
0,8,2118,
0,8,2119,
0,8,2120,
0,8,2121,
0,8,2122,
0,8,2123,
0,8,2124,
0,8,2125,
0,8,2126,
0,8,2127,
0,8,2128,
0,8,2129,
0,8,2130,
0,8,2131,
0,8,2132,
0,8,2133,
0,8,2134,
0,8,2135,
0,8,2136,
0,8,2137,
0,8,2138,
0,8,2139,
0,8,2140,
0,8,2141,
0,8,2142,
0,8,2143,
0,8,2144,
0,8,2145,
0,8,2146,
0,8,2147,
0,8,2148,
0,8,2149,
0,8,2150,
0,8,2151,
0,9,2003,
0,9,2004,
0,9,2005,
0,9,2006,
0,9,2007,
0,9,2008,
0,9,2009,
0,9,2010,
0,9,2011,
0,9,2012,19825.0
0,9,2013,4550.0
0,9,2014,3084.0
0,9,2015,7770.0
0,9,2016,6521.0
0,9,2017,977.0
0,9,2018,1967.0
0,9,2019,10619.0
0,9,2020,13767.0
0,9,2021,18908.0
0,9,2022,5855.0
0,9,2023,2125.0
0,9,2024,3313.0
0,9,2025,8100.0
0,9,2026,3690.0
0,9,2027,1397.0
0,9,2028,6924.0
0,9,2029,2375.0
0,9,2030,3845.0
0,9,2031,7984.0
0,9,2032,7135.0
0,9,2033,7582.0
0,9,2034,4138.0
0,9,2035,2444.0
0,9,2036,858.0
0,9,2037,1310.0
0,9,2038,6032.0
0,9,2039,7012.0
0,9,2040,1454.0
0,9,2041,6992.0
0,9,2042,6299.0
0,9,2043,3293.0
0,9,2044,3602.0
0,9,2045,14205.0
0,9,2046,10344.0
0,9,2047,11664.0
0,9,2048,7899.0
0,9,2049,4399.0
0,9,2050,1156.0
0,9,2051,6456.0
0,9,2052,9379.0
0,9,2053,1103.0
0,9,2054,8244.0
0,9,2055,3641.0
0,9,2056,2821.0
0,9,2057,1600.0
0,9,2058,9677.0
0,9,2059,3912.0
0,9,2060,10734.0
0,9,2061,1959.0
0,9,2062,
0,9,2063,
0,9,2064,
0,9,2065,
0,9,2066,
0,9,2067,
0,9,2068,
0,9,2069,
0,9,2070,
0,9,2071,
0,9,2072,
0,9,2073,
0,9,2074,
0,9,2075,
0,9,2076,
0,9,2077,
0,9,2078,
0,9,2079,
0,9,2080,
0,9,2081,
0,9,2082,
0,9,2083,
0,9,2084,
0,9,2085,
0,9,2086,
0,9,2087,
0,9,2088,
0,9,2089,
0,9,2090,
0,9,2091,
0,9,2092,
0,9,2093,
0,9,2094,
0,9,2095,
0,9,2096,
0,9,2097,
0,9,2098,
0,9,2099,
0,9,2100,
0,9,2101,
0,9,2102,
0,9,2103,
0,9,2104,
0,9,2105,
0,9,2106,
0,9,2107,
0,9,2108,
0,9,2109,
0,9,2110,
0,9,2111,
0,9,2112,
0,9,2113,
0,9,2114,
0,9,2115,
0,9,2116,
0,9,2117,
0,9,2118,
0,9,2119,
0,9,2120,
0,9,2121,
0,9,2122,
0,9,2123,
0,9,2124,
0,9,2125,
0,9,2126,
0,9,2127,
0,9,2128,
0,9,2129,
0,9,2130,
0,9,2131,
0,9,2132,
0,9,2133,
0,9,2134,
0,9,2135,
0,9,2136,
0,9,2137,
0,9,2138,
0,9,2139,
0,9,2140,
0,9,2141,
0,9,2142,
0,9,2143,
0,9,2144,
0,9,2145,
0,9,2146,
0,9,2147,
0,9,2148,
0,9,2149,
0,9,2150,
0,9,2151,
0,10,2003,
0,10,2004,
0,10,2005,
0,10,2006,
