PB,batch,years,people_lost_harris_method
0,7,2094,
0,7,2095,
0,7,2096,
0,7,2097,
0,7,2098,
0,7,2099,
0,7,2100,
0,7,2101,
0,7,2102,
0,7,2103,
0,7,2104,
0,7,2105,
0,7,2106,
0,7,2107,
0,7,2108,
0,7,2109,
0,7,2110,
0,7,2111,
0,7,2112,
0,7,2113,
0,7,2114,
0,7,2115,
0,7,2116,
0,7,2117,
0,7,2118,
0,7,2119,
0,7,2120,
0,7,2121,
0,7,2122,
0,7,2123,
0,7,2124,
0,7,2125,
0,7,2126,
0,7,2127,
0,7,2128,
0,7,2129,
0,7,2130,
0,7,2131,
0,7,2132,
0,7,2133,
0,7,2134,
0,7,2135,
0,7,2136,
0,7,2137,
0,7,2138,
0,7,2139,
0,7,2140,
0,7,2141,
0,7,2142,
0,7,2143,
0,7,2144,
0,7,2145,
0,7,2146,
0,7,2147,
0,7,2148,
0,7,2149,
0,7,2150,
0,7,2151,
0,8,2003,
0,8,2004,
0,8,2005,
0,8,2006,
0,8,2007,
0,8,2008,
0,8,2009,
0,8,2010,
0,8,2011,0.0
0,8,2012,0.0
0,8,2013,3.0
0,8,2014,0.0
0,8,2015,1.0
0,8,2016,0.0
0,8,2017,1.0
0,8,2018,1.0
0,8,2019,7.0
0,8,2020,1.0
0,8,2021,20.0
0,8,2022,0.0
0,8,2023,0.0
0,8,2024,0.0
0,8,2025,1.0
0,8,2026,2.0
0,8,2027,6.0
0,8,2028,0.0
0,8,2029,0.0
0,8,2030,0.0
0,8,2031,0.0
0,8,2032,1.0
0,8,2033,0.0
0,8,2034,52.0
0,8,2035,1.0
0,8,2036,0.0
0,8,2037,0.0
0,8,2038,5.0
0,8,2039,10.0
0,8,2040,1.0
0,8,2041,2.0
0,8,2042,6.0
0,8,2043,0.0
0,8,2044,1.0
0,8,2045,2.0
0,8,2046,1.0
0,8,2047,7.0
0,8,2048,0.0
0,8,2049,0.0
0,8,2050,0.0
0,8,2051,1.0
0,8,2052,1.0
0,8,2053,0.0
0,8,2054,0.0
0,8,2055,0.0
0,8,2056,0.0
0,8,2057,13.0
0,8,2058,1.0
0,8,2059,0.0
0,8,2060,7.0
0,8,2061,
0,8,2062,
0,8,2063,
0,8,2064,
0,8,2065,
0,8,2066,
0,8,2067,
0,8,2068,
0,8,2069,
0,8,2070,
0,8,2071,
0,8,2072,
0,8,2073,
0,8,2074,
0,8,2075,
0,8,2076,
0,8,2077,
0,8,2078,
0,8,2079,
0,8,2080,
0,8,2081,
0,8,2082,
0,8,2083,
0,8,2084,
0,8,2085,
0,8,2086,
0,8,2087,
0,8,2088,
0,8,2089,
0,8,2090,
0,8,2091,
0,8,2092,
0,8,2093,
0,8,2094,
0,8,2095,
0,8,2096,
0,8,2097,
0,8,2098,
0,8,2099,
0,8,2100,
0,8,2101,
0,8,2102,
0,8,2103,
0,8,2104,
0,8,2105,
0,8,2106,
0,8,2107,
0,8,2108,
0,8,2109,
0,8,2110,
0,8,2111,
0,8,2112,
0,8,2113,
0,8,2114,
0,8,2115,
0,8,2116,
0,8,2117,
0,8,2118,
0,8,2119,
0,8,2120,
0,8,2121,
0,8,2122,
0,8,2123,
0,8,2124,
0,8,2125,
0,8,2126,
0,8,2127,
0,8,2128,
0,8,2129,
0,8,2130,
0,8,2131,
0,8,2132,
0,8,2133,
0,8,2134,
0,8,2135,
0,8,2136,
0,8,2137,
0,8,2138,
0,8,2139,
0,8,2140,
0,8,2141,
0,8,2142,
0,8,2143,
0,8,2144,
0,8,2145,
0,8,2146,
0,8,2147,
0,8,2148,
0,8,2149,
0,8,2150,
0,8,2151,
0,9,2003,
0,9,2004,
0,9,2005,
0,9,2006,
0,9,2007,
0,9,2008,
0,9,2009,
0,9,2010,
0,9,2011,
0,9,2012,2.0
0,9,2013,2.0
0,9,2014,0.0
0,9,2015,1.0
0,9,2016,0.0
0,9,2017,0.0
0,9,2018,0.0
0,9,2019,2.0
0,9,2020,1.0
0,9,2021,31.0
0,9,2022,1.0
0,9,2023,0.0
0,9,2024,0.0
0,9,2025,1.0
0,9,2026,2.0
0,9,2027,0.0
0,9,2028,2.0
0,9,2029,1.0
0,9,2030,0.0
0,9,2031,0.0
0,9,2032,1.0
0,9,2033,2.0
0,9,2034,4.0
0,9,2035,0.0
0,9,2036,1.0
0,9,2037,0.0
0,9,2038,1.0
0,9,2039,2.0
0,9,2040,0.0
0,9,2041,2.0
0,9,2042,1.0
0,9,2043,1.0
0,9,2044,0.0
0,9,2045,6.0
0,9,2046,2.0
0,9,2047,25.0
0,9,2048,2.0
0,9,2049,0.0
0,9,2050,0.0
0,9,2051,0.0
0,9,2052,0.0
0,9,2053,0.0
0,9,2054,4.0
0,9,2055,0.0
0,9,2056,0.0
0,9,2057,0.0
0,9,2058,1.0
0,9,2059,0.0
0,9,2060,1.0
0,9,2061,0.0
0,9,2062,
0,9,2063,
0,9,2064,
0,9,2065,
0,9,2066,
0,9,2067,
0,9,2068,
0,9,2069,
0,9,2070,
0,9,2071,
0,9,2072,
0,9,2073,
0,9,2074,
0,9,2075,
0,9,2076,
0,9,2077,
0,9,2078,
0,9,2079,
0,9,2080,
0,9,2081,
0,9,2082,
0,9,2083,
0,9,2084,
0,9,2085,
0,9,2086,
0,9,2087,
0,9,2088,
0,9,2089,
0,9,2090,
0,9,2091,
0,9,2092,
0,9,2093,
0,9,2094,
0,9,2095,
0,9,2096,
0,9,2097,
0,9,2098,
0,9,2099,
0,9,2100,
0,9,2101,
0,9,2102,
0,9,2103,
0,9,2104,
0,9,2105,
0,9,2106,
0,9,2107,
0,9,2108,
0,9,2109,
0,9,2110,
0,9,2111,
0,9,2112,
0,9,2113,
0,9,2114,
0,9,2115,
0,9,2116,
0,9,2117,
0,9,2118,
0,9,2119,
0,9,2120,
0,9,2121,
0,9,2122,
0,9,2123,
0,9,2124,
0,9,2125,
0,9,2126,
0,9,2127,
0,9,2128,
0,9,2129,
0,9,2130,
0,9,2131,
0,9,2132,
0,9,2133,
0,9,2134,
0,9,2135,
0,9,2136,
0,9,2137,
0,9,2138,
0,9,2139,
0,9,2140,
0,9,2141,
0,9,2142,
0,9,2143,
0,9,2144,
0,9,2145,
0,9,2146,
0,9,2147,
