PB,batch,years,houses_lost
0,8,2058,56.0
0,8,2059,15.0
0,8,2060,278.0
0,8,2061,
0,8,2062,
0,8,2063,
0,8,2064,
0,8,2065,
0,8,2066,
0,8,2067,
0,8,2068,
0,8,2069,
0,8,2070,
0,8,2071,
0,8,2072,
0,8,2073,
0,8,2074,
0,8,2075,
0,8,2076,
0,8,2077,
0,8,2078,
0,8,2079,
0,8,2080,
0,8,2081,
0,8,2082,
0,8,2083,
0,8,2084,
0,8,2085,
0,8,2086,
0,8,2087,
0,8,2088,
0,8,2089,
0,8,2090,
0,8,2091,
0,8,2092,
0,8,2093,
0,8,2094,
0,8,2095,
0,8,2096,
0,8,2097,
0,8,2098,
0,8,2099,
0,8,2100,
0,8,2101,
0,8,2102,
0,8,2103,
0,8,2104,
0,8,2105,
0,8,2106,
0,8,2107,
0,8,2108,
0,8,2109,
0,8,2110,
0,8,2111,
0,8,2112,
0,8,2113,
0,8,2114,
0,8,2115,
0,8,2116,
0,8,2117,
0,8,2118,
0,8,2119,
0,8,2120,
0,8,2121,
0,8,2122,
0,8,2123,
0,8,2124,
0,8,2125,
0,8,2126,
0,8,2127,
0,8,2128,
0,8,2129,
0,8,2130,
0,8,2131,
0,8,2132,
0,8,2133,
0,8,2134,
0,8,2135,
0,8,2136,
0,8,2137,
0,8,2138,
0,8,2139,
0,8,2140,
0,8,2141,
0,8,2142,
0,8,2143,
0,8,2144,
0,8,2145,
0,8,2146,
0,8,2147,
0,8,2148,
0,8,2149,
0,8,2150,
0,8,2151,
0,9,2003,
0,9,2004,
0,9,2005,
0,9,2006,
0,9,2007,
0,9,2008,
0,9,2009,
0,9,2010,
0,9,2011,
0,9,2012,106.0
0,9,2013,102.0
0,9,2014,17.0
0,9,2015,46.0
0,9,2016,22.0
0,9,2017,3.0
0,9,2018,26.0
0,9,2019,114.0
0,9,2020,47.0
0,9,2021,782.0
0,9,2022,41.0
0,9,2023,15.0
0,9,2024,12.0
0,9,2025,39.0
0,9,2026,104.0
0,9,2027,10.0
0,9,2028,112.0
0,9,2029,52.0
0,9,2030,6.0
0,9,2031,33.0
0,9,2032,50.0
0,9,2033,86.0
0,9,2034,164.0
0,9,2035,9.0
0,9,2036,54.0
0,9,2037,7.0
0,9,2038,52.0
0,9,2039,114.0
0,9,2040,8.0
0,9,2041,87.0
0,9,2042,60.0
0,9,2043,60.0
0,9,2044,6.0
0,9,2045,244.0
0,9,2046,102.0
0,9,2047,652.0
0,9,2048,82.0
0,9,2049,28.0
0,9,2050,4.0
0,9,2051,16.0
0,9,2052,37.0
0,9,2053,2.0
0,9,2054,174.0
0,9,2055,14.0
0,9,2056,7.0
0,9,2057,5.0
0,9,2058,53.0
0,9,2059,34.0
0,9,2060,57.0
0,9,2061,10.0
0,9,2062,
0,9,2063,
0,9,2064,
0,9,2065,
0,9,2066,
0,9,2067,
0,9,2068,
0,9,2069,
0,9,2070,
0,9,2071,
0,9,2072,
0,9,2073,
0,9,2074,
0,9,2075,
0,9,2076,
0,9,2077,
0,9,2078,
0,9,2079,
0,9,2080,
0,9,2081,
0,9,2082,
0,9,2083,
0,9,2084,
0,9,2085,
0,9,2086,
0,9,2087,
0,9,2088,
0,9,2089,
0,9,2090,
0,9,2091,
0,9,2092,
0,9,2093,
0,9,2094,
0,9,2095,
0,9,2096,
0,9,2097,
0,9,2098,
0,9,2099,
0,9,2100,
0,9,2101,
0,9,2102,
0,9,2103,
0,9,2104,
0,9,2105,
0,9,2106,
0,9,2107,
0,9,2108,
0,9,2109,
0,9,2110,
0,9,2111,
0,9,2112,
0,9,2113,
0,9,2114,
0,9,2115,
0,9,2116,
0,9,2117,
0,9,2118,
0,9,2119,
0,9,2120,
0,9,2121,
0,9,2122,
0,9,2123,
0,9,2124,
0,9,2125,
0,9,2126,
0,9,2127,
0,9,2128,
0,9,2129,
0,9,2130,
0,9,2131,
0,9,2132,
0,9,2133,
0,9,2134,
0,9,2135,
0,9,2136,
0,9,2137,
0,9,2138,
0,9,2139,
0,9,2140,
0,9,2141,
0,9,2142,
0,9,2143,
0,9,2144,
0,9,2145,
0,9,2146,
0,9,2147,
0,9,2148,
0,9,2149,
0,9,2150,
0,9,2151,
0,10,2003,
0,10,2004,
0,10,2005,
0,10,2006,
0,10,2007,
0,10,2008,
0,10,2009,
0,10,2010,
0,10,2011,
0,10,2012,
0,10,2013,52.0
0,10,2014,7.0
0,10,2015,285.0
0,10,2016,6.0
0,10,2017,14.0
0,10,2018,86.0
0,10,2019,90.0
0,10,2020,53.0
0,10,2021,655.0
0,10,2022,20.0
0,10,2023,5.0
0,10,2024,16.0
0,10,2025,33.0
0,10,2026,44.0
0,10,2027,7.0
0,10,2028,380.0
0,10,2029,33.0
0,10,2030,7.0
0,10,2031,96.0
0,10,2032,115.0
0,10,2033,20.0
0,10,2034,98.0
0,10,2035,9.0
0,10,2036,2.0
0,10,2037,20.0
0,10,2038,168.0
0,10,2039,113.0
0,10,2040,38.0
0,10,2041,155.0
0,10,2042,45.0
0,10,2043,2.0
0,10,2044,31.0
0,10,2045,56.0
0,10,2046,59.0
0,10,2047,147.0
0,10,2048,30.0
0,10,2049,5.0
0,10,2050,3.0
